cart_item_id,cart_id,product_id,quantity,created_at,updated_at
2001,736,484,6,2021-01-10 15:19:53,2022-03-15 08:00:23
2002,143,261,53,2021-05-04 18:23:15,2022-05-31 23:46:28
2003,247,69,52,2021-01-20 14:00:20,2022-07-14 19:20:38
2004,611,296,42,2021-08-28 05:15:35,2022-11-04 00:53:05
2005,790,355,18,2021-07-19 17:08:26,2022-11-30 21:56:56
2006,845,172,17,2021-09-16 10:48:10,2022-05-21 23:48:20
2007,515,212,46,2021-05-04 13:40:15,2022-11-26 06:05:51
2008,413,53,3,2021-07-10 21:38:59,2022-09-26 08:46:35
2009,475,163,8,2021-03-31 05:04:30,2022-09-12 18:50:01
2010,179,367,100,2021-05-29 22:54:01,2022-09-03 15:23:22
2011,475,417,21,2021-10-15 08:02:12,2022-09-13 12:51:20
2012,811,133,17,2021-04-05 14:17:23,2022-07-29 05:26:39
2013,515,33,52,2021-01-15 07:18:01,2022-07-20 17:12:35
2014,615,278,52,2021-07-20 12:09:19,2022-01-05 02:23:47
2015,598,93,99,2021-10-09 13:37:23,2022-03-23 05:39:39
2016,564,446,7,2021-01-04 02:18:46,2022-02-24 10:08:41
2017,628,125,10,2021-09-06 14:00:59,2022-12-27 20:56:39
2018,3,221,35,2021-11-19 11:28:46,2022-07-23 23:03:33
2019,325,342,56,2021-10-23 01:32:30,2022-02-14 06:42:02
2020,402,12,12,2021-11-06 13:18:36,2022-10-10 01:59:10
2021,932,321,27,2021-08-22 18:51:43,2022-07-13 06:15:50
2022,505,368,91,2021-08-26 01:00:46,2022-06-07 03:34:27
2023,870,6,20,2021-03-03 04:11:25,2022-07-12 08:16:02
2024,133,43,6,2021-10-23 15:20:26,2022-06-29 00:13:49
2025,344,104,44,2021-06-15 00:05:33,2022-09-01 05:37:48
2026,654,12,43,2021-01-05 01:20:43,2022-02-01 19:58:27
2027,365,390,78,2021-11-18 22:48:31,2022-11-15 20:42:02
2028,82,47,47,2021-10-25 10:52:54,2022-02-19 00:25:32
2029,540,456,2,2021-02-10 15:08:13,2022-08-26 12:11:45
2030,832,129,29,2021-12-06 12:42:40,2022-06-20 11:41:32
2031,960,129,65,2021-06-25 22:00:09,2022-01-23 05:44:28
2032,552,188,73,2021-02-28 08:32:17,2022-08-18 18:52:36
2033,64,390,34,2021-01-01 23:53:58,2022-03-22 19:50:13
2034,331,491,24,2021-01-18 04:38:15,2022-10-25 05:57:39
2035,427,416,94,2021-01-24 01:45:00,2022-11-27 21:58:34
