"order_detail_id";"order_id";"product_id";"quantity";"price";"created_at";"updated_at"
1;1;193;88;950.9;"2021-06-07 07:08:38";"2024-07-03 17:48:09"
2;2;360;89;270.61;"2021-01-09 18:22:17";"2024-07-03 17:48:09"
3;3;276;90;487.82;"2021-06-24 16:07:06";"2024-07-03 17:48:09"
4;4;56;2;364.93;"2021-06-28 01:18:41";"2024-07-03 17:48:09"
5;5;61;84;968.23;"2021-11-09 23:16:58";"2024-07-03 17:48:09"
6;6;61;99;968.23;"2021-05-02 11:12:02";"2024-07-03 17:48:09"
7;7;210;69;492.89;"2021-09-19 10:07:32";"2024-07-03 17:48:09"
8;8;124;35;225.86;"2021-06-17 20:02:01";"2024-07-03 17:48:09"
9;9;177;92;971.12;"2021-12-15 14:50:55";"2024-07-03 17:48:09"
10;10;163;84;625.75;"2021-09-13 08:03:00";"2024-07-03 17:48:09"
11;11;219;98;857.14;"2021-08-09 22:43:14";"2024-07-03 17:48:09"
12;12;246;89;636.97;"2021-07-13 12:12:17";"2024-07-03 17:48:09"
13;13;382;93;885.49;"2021-03-31 12:36:39";"2024-07-03 17:48:09"
14;14;416;47;94.23;"2021-01-13 21:36:05";"2024-07-03 17:48:09"
15;15;160;33;936.9;"2021-03-22 16:54:39";"2024-07-03 17:48:09"
17;17;118;95;832.18;"2021-02-06 02:07:12";"2024-07-03 17:48:09"
18;18;238;58;10.36;"2021-07-11 19:31:03";"2024-07-03 17:48:09"
19;19;197;54;735.32;"2021-07-17 18:38:59";"2024-07-03 17:48:09"
20;20;351;6;589.72;"2021-04-21 21:09:35";"2024-07-03 17:48:09"
21;21;391;4;781.75;"2021-03-16 19:09:59";"2024-07-03 17:48:09"
23;23;397;82;226.38;"2021-10-07 13:31:58";"2024-07-03 17:48:09"
24;24;409;90;955.52;"2021-11-20 01:52:26";"2024-07-03 17:48:09"
25;25;279;10;737.87;"2021-11-21 08:48:46";"2024-07-03 17:48:09"
26;26;98;66;165.6;"2021-01-20 01:31:05";"2024-07-03 17:48:09"
27;27;295;74;397.94;"2021-10-01 16:59:21";"2024-07-03 17:48:09"
28;28;132;1;427.24;"2021-09-29 16:59:56";"2024-07-03 17:48:09"
29;29;33;91;406.36;"2021-06-04 15:21:12";"2024-07-03 17:48:09"
30;30;65;10;319.03;"2021-03-27 00:44:08";"2024-07-03 17:48:09"
32;32;351;10;589.72;"2021-08-19 17:00:16";"2024-07-03 17:48:09"
33;33;47;66;665.54;"2021-01-09 16:01:50";"2024-07-03 17:48:09"
34;34;23;95;127.63;"2021-04-21 20:47:37";"2024-07-03 17:48:09"
35;35;447;70;693.73;"2021-07-05 16:46:11";"2024-07-03 17:48:09"
36;36;345;50;408.32;"2021-07-07 23:38:16";"2024-07-03 17:48:09"
37;37;93;57;886.35;"2021-07-13 03:34:43";"2024-07-03 17:48:09"
38;38;57;25;480.76;"2021-11-15 16:33:21";"2024-07-03 17:48:09"
39;39;396;75;622.57;"2021-03-12 09:13:35";"2024-07-03 17:48:09"
40;40;355;23;950.74;"2021-10-27 11:02:17";"2024-07-03 17:48:09"
41;41;200;92;705.09;"2021-07-09 15:28:55";"2024-07-03 17:48:09"
42;42;272;82;855.6;"2021-05-26 12:22:52";"2024-07-03 17:48:09"
43;43;320;81;395.82;"2021-06-20 17:06:36";"2024-07-03 17:48:09"
44;44;343;9;875.01;"2021-07-02 18:14:23";"2024-07-03 17:48:09"
46;46;160;22;936.9;"2021-03-23 14:49:21";"2024-07-03 17:48:09"
47;47;374;8;690.84;"2021-06-17 20:07:03";"2024-07-03 17:48:09"
48;48;374;12;690.84;"2021-02-06 21:44:04";"2024-07-03 17:48:09"
49;49;189;15;398.33;"2021-07-29 15:24:34";"2024-07-03 17:48:09"
50;50;374;35;690.84;"2021-09-02 06:00:49";"2024-07-03 17:48:09"
51;51;366;67;371.1;"2021-08-16 16:26:10";"2024-07-03 17:48:09"
52;52;244;89;510.35;"2021-06-25 11:59:11";"2024-07-03 17:48:09"
53;53;77;99;442.18;"2021-03-27 22:58:04";"2024-07-03 17:48:09"
54;54;278;96;546.14;"2021-05-02 03:17:15";"2024-07-03 17:48:09"
55;55;379;90;360.08;"2021-09-07 12:56:07";"2024-07-03 17:48:09"
56;56;392;88;868.9;"2021-09-08 07:34:41";"2024-07-03 17:48:09"
57;57;176;71;687.24;"2021-05-16 03:11:27";"2024-07-03 17:48:09"
58;58;333;21;114.25;"2021-04-17 02:40:09";"2024-07-03 17:48:09"
59;59;328;22;853.82;"2021-08-20 17:42:04";"2024-07-03 17:48:09"
60;60;101;64;856.49;"2021-05-07 07:12:51";"2024-07-03 17:48:09"
61;61;407;49;730.67;"2021-05-31 18:00:49";"2024-07-03 17:48:09"
62;62;95;86;66.97;"2021-02-17 17:39:59";"2024-07-03 17:48:09"
63;63;243;50;500.8;"2021-12-04 03:29:58";"2024-07-03 17:48:09"
64;64;89;70;485.32;"2021-11-23 02:50:46";"2024-07-03 17:48:09"
66;66;312;54;54.89;"2021-04-07 14:04:11";"2024-07-03 17:48:09"
67;67;416;52;94.23;"2021-06-09 21:29:56";"2024-07-03 17:48:09"
68;68;486;7;891.8;"2021-06-21 01:00:57";"2024-07-03 17:48:09"
69;69;4;38;227.6;"2021-08-18 02:37:09";"2024-07-03 17:48:09"
70;70;422;96;322.16;"2021-12-27 21:42:42";"2024-07-03 17:48:09"
71;71;256;73;38.46;"2021-08-18 11:15:36";"2024-07-03 17:48:09"
72;72;289;52;481.95;"2021-01-12 13:02:07";"2024-07-03 17:48:09"
73;73;172;51;434.57;"2021-07-07 12:50:33";"2024-07-03 17:48:09"
74;74;10;68;397.21;"2021-05-11 13:22:14";"2024-07-03 17:48:09"
75;75;121;46;440.91;"2021-11-13 03:31:49";"2024-07-03 17:48:09"
76;76;141;37;573.59;"2021-11-04 21:23:35";"2024-07-03 17:48:09"
77;77;480;78;4.4;"2021-02-18 13:26:44";"2024-07-03 17:48:09"
78;78;338;26;938.11;"2021-05-22 15:16:36";"2024-07-03 17:48:09"
79;79;167;22;42.31;"2021-12-04 11:25:58";"2024-07-03 17:48:09"
80;80;326;20;540.79;"2021-04-23 21:50:52";"2024-07-03 17:48:09"
81;81;478;81;39.37;"2021-10-06 10:08:01";"2024-07-03 17:48:09"
82;82;273;98;223.36;"2021-02-19 12:41:11";"2024-07-03 17:48:09"
83;83;415;39;85.5;"2021-08-28 02:42:40";"2024-07-03 17:48:09"
84;84;385;48;65.26;"2021-05-08 17:12:30";"2024-07-03 17:48:09"
