shipping_id,order_id,shipping_date,shipping_method,tracking_number,status,created_at,updated_at
2001,233,2022-09-27 23:28:26,Curbside Pickup,3974917350,on hold,2021-11-12 18:18:30,2022-05-02 09:22:28
2002,1635,2022-05-24 01:53:26,International Shipping,3796737039,pending,2021-03-19 21:07:25,2022-10-15 22:58:44
2003,2697,2022-05-02 02:14:08,Express Shipping,1996877783,active,2021-06-29 22:57:14,2022-05-26 07:42:17
2004,289,2022-11-06 13:45:56,2-Day Shipping,3078332670,cancelled,2021-12-09 00:03:21,2022-07-24 22:39:27
2005,2099,2022-10-08 23:34:00,Priority Shipping,9800345906,on hold,2021-09-27 10:14:23,2022-12-07 10:35:54
2006,1924,2022-01-13 08:20:23,Curbside Pickup,6528241117,cancelled,2021-02-04 00:01:27,2022-09-18 21:53:20
2007,1799,2022-01-26 04:03:48,Express Shipping,3652060351,active,2021-06-16 07:05:22,2022-05-31 09:07:50
2008,1549,2022-11-03 10:22:20,Express Shipping,4771347903,completed,2021-10-01 04:13:02,2022-08-10 11:25:40
2009,2403,2022-01-24 15:22:47,In-Store Pickup,1748523958,pending,2021-10-22 19:40:19,2022-11-25 18:55:28
2010,386,2022-01-31 13:57:28,In-Store Pickup,3836618867,cancelled,2021-07-06 19:37:02,2022-06-10 12:51:57
2011,1835,2022-08-05 08:54:00,2-Day Shipping,1992375237,on hold,2021-03-20 18:15:38,2022-06-04 00:44:11
2012,617,2022-03-24 05:45:24,Same-Day Delivery,5612524589,cancelled,2021-02-03 15:08:24,2022-08-21 22:25:42
2013,1008,2022-03-10 08:47:17,Same-Day Delivery,4507537608,completed,2021-11-04 12:52:47,2022-11-03 23:01:52
2014,2825,2022-04-05 22:37:18,Curbside Pickup,3481549084,cancelled,2021-09-12 08:08:30,2022-04-02 15:00:11
2015,1581,2022-10-23 02:12:38,2-Day Shipping,6810699140,completed,2021-10-26 19:16:17,2022-03-01 16:55:04
2016,2262,2022-02-22 12:45:18,International Shipping,8022231088,completed,2021-04-21 07:28:38,2022-08-26 21:53:59
2017,1525,2022-05-18 08:13:34,In-Store Pickup,1729117301,active,2021-06-07 14:39:36,2022-09-03 11:23:32
2018,688,2022-06-27 02:02:24,Same-Day Delivery,2194598626,active,2021-11-26 10:47:55,2022-06-14 22:28:43
2019,1716,2022-10-26 15:50:20,Next Day Delivery,1721510574,active,2021-03-01 00:02:26,2022-10-11 06:05:10
2020,563,2022-07-24 13:35:08,In-Store Pickup,3210199817,pending,2021-04-28 00:57:33,2022-05-07 17:05:33
2021,2349,2022-04-04 19:58:32,Next Day Delivery,5590444783,on hold,2021-07-19 04:41:05,2022-04-18 16:02:13
2022,193,2022-05-24 07:58:34,2-Day Shipping,3331539636,on hold,2021-07-04 02:33:51,2022-12-10 19:31:50
2023,626,2022-01-03 10:00:28,Curbside Pickup,9901471753,completed,2021-12-06 05:58:58,2022-09-27 21:13:37
2024,2402,2022-01-14 02:46:48,2-Day Shipping,3145648914,active,2021-10-10 20:16:58,2022-10-05 00:07:27
2025,358,2022-08-15 01:03:37,Express Shipping,5630356321,on hold,2021-10-28 09:40:12,2022-01-20 21:37:13
2026,449,2022-12-24 03:45:04,Next Day Delivery,8876177387,cancelled,2021-06-20 13:49:45,2022-11-21 03:08:41
2027,1940,2022-07-24 20:31:07,Standard Shipping,1140954755,active,2021-10-02 16:18:09,2022-02-03 06:59:29
2028,1382,2022-10-02 23:03:39,Same-Day Delivery,9251961859,pending,2021-09-30 16:17:39,2022-07-09 07:39:09
2029,2983,2022-03-29 21:27:21,2-Day Shipping,6613372939,completed,2021-02-11 07:52:24,2022-01-12 19:06:31
2030,1398,2022-08-20 01:58:23,Same-Day Delivery,7455504443,pending,2021-12-28 18:32:04,2022-04-23 20:28:06
