order_detail_id,order_id,product_id,quantity,price,created_at,updated_at
4001,1001,280,20,862.5,2021-06-30 21:38:20,2022-04-30 03:59:04
4002,1002,73,46,546.75,2021-09-26 06:17:04,2022-09-28 08:37:55
4003,1003,313,9,891.12,2021-09-13 06:39:22,2022-05-01 07:27:25
4004,1004,317,64,173.24,2021-06-16 04:12:58,2022-12-12 11:43:37
4005,1005,219,1,716.14,2021-08-17 06:44:28,2022-01-30 00:28:10
4006,1006,362,66,632.99,2021-06-02 13:20:31,2022-02-07 10:09:49
4007,1007,478,14,604.48,2021-01-22 06:03:10,2022-12-30 21:21:11
4008,1008,374,61,256.52,2021-04-09 12:55:00,2022-08-03 05:31:38
4009,1009,475,38,421.46,2021-08-05 20:29:46,2022-01-16 13:19:32
4010,1010,152,46,289.55,2021-07-02 10:38:45,2022-03-27 09:34:13
4011,1011,286,92,79.25,2021-12-01 12:43:15,2022-03-10 11:58:44
4012,1012,316,62,516.48,2021-08-28 14:58:37,2022-09-01 12:18:16
4013,1013,110,93,635.15,2021-06-12 05:14:17,2022-11-11 02:59:33
4014,1014,334,68,847.21,2021-12-26 11:42:56,2022-11-11 13:36:51
4015,1015,377,64,170.84,2021-06-14 23:16:03,2022-12-08 00:09:46
4016,1016,434,43,48.55,2021-12-02 06:06:10,2022-03-30 13:19:44
4017,1017,335,42,52.32,2021-05-21 10:56:17,2022-04-10 12:01:56
4018,1018,486,7,913.93,2021-01-21 18:59:38,2022-03-03 05:23:41
4019,1019,491,34,474.38,2021-05-09 17:26:04,2022-12-13 13:24:55
4020,1020,393,61,851.21,2021-04-23 21:50:27,2022-06-25 18:18:16
4021,1021,335,24,698.33,2021-12-04 15:11:46,2022-08-20 00:31:25
4022,1022,478,88,373.27,2021-01-27 08:44:26,2022-09-20 02:42:44
4023,1023,440,13,506.51,2021-07-10 11:38:21,2022-11-23 05:47:55
4024,1024,23,32,913.1,2021-03-19 10:36:35,2022-10-07 15:22:52
4025,1025,258,84,566.67,2021-09-20 19:44:32,2022-11-01 14:47:54
4026,1026,310,85,137.82,2021-08-29 04:42:03,2022-06-25 04:06:57
4027,1027,493,65,700.94,2021-05-24 21:37:25,2022-02-13 09:02:21
4028,1028,29,36,691.42,2021-04-24 18:45:56,2022-11-15 08:07:27
4029,1029,478,12,887.44,2021-04-16 20:01:41,2022-07-27 05:13:26
4030,1030,394,16,143.61,2021-12-28 10:49:12,2022-07-29 06:34:31
4031,1031,140,56,748.94,2021-04-05 11:37:30,2022-03-16 15:34:26
4032,1032,334,25,589.93,2021-03-16 21:49:45,2022-09-16 05:33:17
4033,1033,13,4,153.75,2021-05-09 08:15:03,2022-11-22 18:59:51
4034,1034,225,76,850.15,2021-07-11 15:05:39,2022-03-12 17:42:50
4035,1035,396,73,387.19,2021-04-29 03:15:58,2022-12-13 08:29:22
4036,1036,144,57,402.4,2021-06-26 01:40:20,2022-04-15 14:11:29
4037,1037,66,20,987.23,2021-10-11 17:52:48,2022-01-18 04:57:29
4038,1038,190,80,757.38,2021-07-10 06:05:42,2022-04-18 11:35:56
4039,1039,136,15,275.5,2021-06-09 19:16:34,2022-11-01 04:47:40
4040,1040,202,68,70.81,2021-09-24 11:56:55,2022-03-13 11:24:37
4041,1041,89,88,331.67,2021-09-14 02:12:15,2022-04-28 11:21:17
4042,1042,474,57,648.1,2021-10-23 16:23:04,2022-12-28 04:00:30
